no;lat;lon;name;ele
200;61.125;10.40931;200;0
201;61.12484;10.40962;201;0
202;61.12472;10.40994;202;0
203;61.1245;10.41059;203;0
204;61.12435;10.41106;204;0
205;61.12418;10.41164;205;0
206;61.12406;10.41247;206;0
207;61.12396;10.41304;207;0
208;61.12382;10.41349;208;0
209;61.12361;10.41408;209;0
210;61.12339;10.41483;210;0
211;61.12324;10.41526;211;0
212;61.12315;10.41546;212;0
213;61.1231;10.41554;213;0
214;61.1231;10.41554;214;0
215;61.12285;10.416;215;0
216;61.12262;10.41645;216;0
217;61.12227;10.41717;217;0
218;61.1221;10.41737;218;0
219;61.122;10.41759;219;0
220;61.12185;10.41798;220;0
221;61.12161;10.41852;221;0
222;61.12118;10.41948;222;0
223;61.1209;10.42008;223;0
224;61.12071;10.42047;224;0
225;61.12055;10.42074;225;0
226;61.12031;10.42123;226;0
227;61.12019;10.42146;227;0
228;61.12019;10.42146;228;0
229;61.11993;10.422;229;0
230;61.11975;10.42251;230;0
231;61.11956;10.42324;231;0
232;61.11934;10.42398;232;0
233;61.11911;10.42439;233;0
234;61.11847;10.42536;234;0
235;61.11817;10.42584;235;0
236;61.11794;10.42625;236;0
237;61.11764;10.42677;237;0
238;61.11747;10.42706;238;0
239;61.1173;10.42724;239;0
240;61.11713;10.42738;240;0
241;61.11698;10.42743;241;0
242;61.11676;10.42743;242;0
243;61.11652;10.42739;243;0
244;61.11611;10.42736;244;0
245;61.11569;10.42742;245;0
246;61.1153;10.42754;246;0
247;61.11519;10.42757;247;0
248;61.11502;10.42767;248;0
249;61.11489;10.4278;249;0
250;61.11474;10.42804;250;0
251;61.11461;10.42824;251;0
252;61.11461;10.42824;252;0
253;61.11369;10.42987;253;0
254;61.11341;10.43041;254;0
255;61.11331;10.43056;255;0
256;61.11314;10.43091;256;0
257;61.1129;10.43139;257;0
258;61.11263;10.43194;258;0
259;61.11229;10.43276;259;0
260;61.11205;10.43325;260;0
261;61.11189;10.43355;261;0
262;61.11169;10.43388;262;0
263;61.11151;10.43425;263;0
264;61.1114;10.43453;264;0
265;61.11123;10.4349;265;0
266;61.11112;10.435;266;0
267;61.11102;10.43508;267;0
268;61.1108;10.43517;268;0
269;61.11067;10.43522;269;0
270;61.1105;10.43533;270;0
271;61.11034;10.43548;271;0
272;61.11017;10.43569;272;0
273;61.10997;10.43599;273;0
274;61.10997;10.43599;274;0
275;61.10985;10.43617;275;0
276;61.10964;10.43668;276;0
277;61.10962;10.43677;277;0
278;61.10962;10.43677;278;0
279;61.10957;10.43698;279;0
280;61.10945;10.4374;280;0
281;61.10923;10.43822;281;0
282;61.10903;10.43883;282;0
283;61.10877;10.4394;283;0
284;61.10877;10.43941;284;0
285;61.10877;10.43941;285;0
286;61.10852;10.43981;286;0
287;61.10835;10.44007;287;0
288;61.10818;10.44029;288;0
289;61.10798;10.4404;289;0
290;61.10778;10.44046;290;0
291;61.10753;10.44051;291;0
292;61.10721;10.44059;292;0
293;61.1069;10.44068;293;0
294;61.10656;10.4408;294;0
295;61.1063;10.44093;295;0
296;61.10614;10.44102;296;0
297;61.10614;10.44102;297;0
298;61.10586;10.44121;298;0
299;61.10569;10.44132;299;0
300;61.10554;10.44148;300;0
301;61.10529;10.44182;301;0
302;61.10525;10.44191;302;0
303;61.10522;10.44183;303;0
304;61.10516;10.44174;304;0
305;61.10505;10.44167;305;0
306;61.10481;10.44156;306;0
307;61.10449;10.44138;307;0
308;61.10449;10.44138;308;0
309;61.10435;10.44127;309;0
310;61.10418;10.44109;310;0
311;61.10404;10.44095;311;0
312;61.10381;10.44067;312;0
313;61.10349;10.44021;313;0
314;61.10317;10.43981;314;0
315;61.10276;10.43943;315;0
316;61.10247;10.43923;316;0
317;61.10208;10.43907;317;0
318;61.10171;10.43898;318;0
319;61.10131;10.43884;319;0
320;61.10131;10.43884;320;0
321;61.10104;10.43875;321;0
322;61.10068;10.43869;322;0
323;61.10034;10.43857;323;0
324;61.10011;10.43849;324;0
325;61.0999;10.43839;325;0
326;61.09965;10.43824;326;0
327;61.09965;10.43824;327;0
328;61.09937;10.43805;328;0
329;61.09895;10.43771;329;0
330;61.09851;10.43728;330;0
331;61.09708;10.43586;331;0
332;61.09635;10.43533;332;0
333;61.09621;10.43521;333;0
334;61.09621;10.43521;334;0
335;61.09597;10.43504;335;0
336;61.0958;10.43494;336;0
337;61.09571;10.4349;337;0
338;61.09559;10.43489;338;0
339;61.09545;10.43488;339;0
340;61.09522;10.43486;340;0
341;61.09478;10.43493;341;0
342;61.09456;10.43492;342;0
343;61.0943;10.43486;343;0
344;61.09384;10.43473;344;0
345;61.09345;10.43452;345;0
346;61.09327;10.4344;346;0
347;61.09311;10.43424;347;0
348;61.09277;10.43391;348;0
349;61.09267;10.4338;349;0
350;61.09258;10.43365;350;0
351;61.09237;10.43334;351;0
352;61.09211;10.433;352;0
353;61.09187;10.43273;353;0
354;61.0916;10.43254;354;0
355;61.09129;10.43236;355;0
356;61.09057;10.43187;356;0
357;61.09049;10.4318;357;0
358;61.09032;10.43164;358;0
359;61.09016;10.43149;359;0
360;61.08998;10.43134;360;0
361;61.08998;10.43134;361;0
362;61.08981;10.43119;362;0
363;61.08973;10.43113;363;0
364;61.08976;10.43101;364;0
365;61.08977;10.4307;365;0
366;61.08974;10.43039;366;0
367;61.08969;10.43009;367;0
368;61.0896;10.42983;368;0
369;61.08934;10.42943;369;0
370;61.0892;10.42927;370;0
371;61.08904;10.4292;371;0
372;61.08888;10.42914;372;0
373;61.08873;10.42906;373;0
374;61.08858;10.42901;374;0
375;61.08841;10.42897;375;0
376;61.08838;10.42897;376;0
377;61.08838;10.42897;377;0
378;61.08869;10.42904;378;0
379;61.089;10.42919;379;0
380;61.08916;10.42924;380;0
381;61.08931;10.42938;381;0
382;61.08957;10.42978;382;0
383;61.08967;10.43001;383;0
384;61.08973;10.43032;384;0
385;61.08977;10.43062;385;0
386;61.08977;10.4309;386;0
387;61.08974;10.43107;387;0
388;61.08973;10.43113;388;0
389;61.08968;10.43109;389;0
390;61.08959;10.43102;390;0
391;61.0895;10.43096;391;0
392;61.08934;10.43085;392;0
393;61.08917;10.43076;393;0
394;61.0888;10.43062;394;0
395;61.08849;10.43055;395;0
396;61.08819;10.43053;396;0
397;61.08789;10.43056;397;0
398;61.08757;10.43061;398;0
399;61.08726;10.43067;399;0
400;61.08668;10.43078;400;0
401;61.08606;10.43089;401;0
402;61.0854;10.43098;402;0
403;61.08505;10.431;403;0
404;61.08468;10.431;404;0
405;61.08431;10.43099;405;0
406;61.08394;10.43096;406;0
407;61.08358;10.43091;407;0
408;61.08324;10.43085;408;0
409;61.08251;10.43065;409;0
410;61.08249;10.43065;410;0
411;61.08249;10.43065;411;0
412;61.07977;10.42983;412;0
413;61.07918;10.42966;413;0
414;61.07854;10.42949;414;0
415;61.0782;10.42944;415;0
416;61.07802;10.42944;416;0
417;61.07784;10.42946;417;0
418;61.07749;10.42957;418;0
419;61.07712;10.42975;419;0
420;61.07652;10.43009;420;0
421;61.07652;10.43008;421;0
422;61.07584;10.43045;422;0
423;61.07508;10.4308;423;0
424;61.07471;10.43095;424;0
425;61.07435;10.43105;425;0
426;61.07399;10.43113;426;0
427;61.07381;10.43116;427;0
428;61.07302;10.43117;428;0
429;61.07277;10.43116;429;0
430;61.07255;10.43113;430;0
431;61.07157;10.4309;431;0
432;61.07157;10.4309;432;0
433;61.07066;10.43066;433;0
434;61.07066;10.43066;434;0
435;61.0699;10.43041;435;0
436;61.06951;10.43025;436;0
437;61.06912;10.43007;437;0
438;61.06881;10.42997;438;0
439;61.06881;10.42997;439;0
440;61.06861;10.42994;440;0
441;61.06841;10.42994;441;0
442;61.06801;10.43002;442;0
443;61.06771;10.43007;443;0
444;61.06771;10.43007;444;0
445;61.06735;10.43013;445;0
446;61.06695;10.43019;446;0
447;61.06617;10.43024;447;0
448;61.06487;10.43025;448;0
449;61.06487;10.43025;449;0
450;61.06369;10.43027;450;0
451;61.06251;10.4303;451;0
452;61.0619;10.43033;452;0
453;61.06127;10.43038;453;0
454;61.06004;10.43053;454;0
455;61.05944;10.43059;455;0
456;61.05899;10.43061;456;0
457;61.05899;10.43061;457;0
458;61.05864;10.43063;458;0
459;61.05845;10.43065;459;0
460;61.05825;10.4307;460;0
461;61.05806;10.4308;461;0
462;61.05806;10.4308;462;0
463;61.05769;10.43108;463;0
464;61.05751;10.43126;464;0
465;61.05729;10.43149;465;0
466;61.05692;10.43183;466;0
467;61.05692;10.43183;467;0
468;61.05627;10.43243;468;0
469;61.05573;10.43288;469;0
470;61.05534;10.43314;470;0
471;61.05494;10.43334;471;0
472;61.05473;10.43341;472;0
473;61.05452;10.43346;473;0
474;61.05415;10.4335;474;0
475;61.05394;10.4335;475;0
476;61.05394;10.4335;476;0
477;61.05241;10.4335;477;0
478;61.05241;10.4335;478;0
479;61.0521;10.43352;479;0
480;61.05191;10.43355;480;0
481;61.05177;10.4336;481;0
482;61.05163;10.43368;482;0
483;61.05148;10.43379;483;0
484;61.05119;10.43408;484;0
485;61.05096;10.43435;485;0
486;61.05096;10.43435;486;0
487;61.05084;10.43449;487;0
488;61.0507;10.43461;488;0
489;61.05063;10.43459;489;0
490;61.05059;10.43456;490;0
491;61.05051;10.43438;491;0
492;61.05049;10.43433;492;0
493;61.05031;10.4346;493;0
494;61.05012;10.43484;494;0
495;61.05012;10.43484;495;0
496;61.04988;10.43506;496;0
497;61.04978;10.43513;497;0
498;61.04962;10.43519;498;0
499;61.04927;10.4352;499;0
500;61.049;10.43518;500;0
501;61.04888;10.43517;501;0
502;61.04864;10.43512;502;0
503;61.04851;10.43501;503;0
504;61.04841;10.43482;504;0
505;61.04841;10.43481;505;0
506;61.04841;10.43481;506;0
507;61.04828;10.43426;507;0
508;61.04826;10.43408;508;0
509;61.0482;10.4336;509;0
510;61.04817;10.43349;510;0
511;61.04809;10.43331;511;0
512;61.04803;10.43327;512;0
513;61.04803;10.43327;513;0
514;61.04797;10.43326;514;0
515;61.04791;10.43329;515;0
516;61.04785;10.43331;516;0
517;61.0478;10.43332;517;0
518;61.04779;10.43332;518;0
519;61.04778;10.4333;519;0
520;61.04773;10.43304;520;0
521;61.04767;10.43283;521;0
522;61.04765;10.43273;522;0
523;61.0476;10.43268;523;0
524;61.04756;10.43256;524;0
525;61.04748;10.43215;525;0
526;61.04735;10.43163;526;0
527;61.04713;10.43107;527;0
528;61.047;10.43083;528;0
529;61.0468;10.43051;529;0
530;61.04656;10.43022;530;0
531;61.04654;10.4302;531;0
532;61.04654;10.4302;532;0
533;61.04623;10.42993;533;0
534;61.04614;10.4298;534;0
535;61.04608;10.42968;535;0
536;61.04607;10.42969;536;0
537;61.04602;10.42975;537;0
538;61.04592;10.42984;538;0
539;61.04566;10.42989;539;0
540;61.04549;10.42992;540;0
541;61.04516;10.43008;541;0
542;61.04512;10.43011;542;0
543;61.04512;10.43011;543;0
544;61.04481;10.43034;544;0
545;61.04461;10.43052;545;0
546;61.04432;10.4308;546;0
547;61.04432;10.4308;547;0
